Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11164561,"🔍 📝 🕵️‍♂️ 🤖","2024-01-22 08:15:26",0.987,331,"conjuring92,nbroad,ubamba98"
2,11177489,"Guanshuo Xu","2024-01-22 03:22:20",0.983,74,wowfattie
3,11168574,"nlp team","2024-01-22 14:14:55",0.974,280,"dmitriikhizbullin,evgeniimaslov2,evilpsycho42,ivanisaev,muhammad4hmed"
4,11176000,"Ertugrul  & Chase","2024-01-22 16:09:06",0.973,399,"chasembowers,datafan07"
5,11192839,"Linguistic Ninjas","2024-01-22 13:39:44",0.972,289,"domdejonge,hirokitanio,jsday96,poskok,tarobxl"
6,11178475,"Davide Cozzolino","2024-01-14 12:13:46",0.969,33,davidecozzolino
7,11372421,"Hao Mei","2024-01-19 22:57:39",0.965,78,tailen
8,11165984,"Abdullah Meda","2024-01-22 05:21:45",0.956,132,abdullahmeda
9,11167647,LLMLab,"2024-01-22 14:31:43",0.947,376,"christofhenkel,darraghdog,tivfrvqhs5"
10,11174581,IC2,"2024-01-22 15:33:50",0.947,36,jonathanchan
11,11245256,"Data Driven Poets","2024-01-22 15:54:53",0.944,142,"teitlax,wngauv"
12,11182458,"Uesugi Erii","2024-01-22 14:53:58",0.942,46,uesugierii
13,11169270,RB,"2024-01-22 15:19:46",0.938,139,rashmibanthia
14,11169459,takaito,"2024-01-22 14:59:59",0.936,117,takaito
15,11463753,FakeDetectLab,"2024-01-22 14:23:06",0.935,160,"catlion6,shaquanquan,susannahsu,yangzhenze,zylee0"
16,11242737,冲冲冲！,"2023-12-07 12:18:41",0.934,34,"liucaiyi,syuan0330"
17,11172054,Magus,"2024-01-22 14:59:04",0.933,180,gmhost
18,11172579,"ai galvatron","2024-01-22 00:02:41",0.933,373,"junglebeastds,kevinehsani,lazysheep277,peirenc"
19,11164533,"Darek Kłeczek","2024-01-22 13:16:47",0.932,157,thedrcat
20,11484058,Shimataro,"2024-01-22 15:54:13",0.932,53,shimataro
21,11178320,"Secret Sauce","2024-01-22 22:06:36",0.932,361,asalhi
22,11164295,Psi,"2024-01-22 19:15:43",0.928,350,philippsinger
23,11299778,SprAut23333,"2024-01-22 15:14:02",0.927,137,spraut23333
24,11375277,전장갓겜,"2024-01-22 13:49:13",0.927,170,"danielchae,kimseunghee"
25,11338741,京海强盛集团,"2024-01-22 14:55:52",0.927,95,"adrianxiao,junruiwang,superxiaotang,zyzhang0109"
26,11493715,"Yaroslav Khnykov","2024-01-22 21:13:17",0.927,42,yaroslavkhnykov
27,11439697,"LLM Detector","2024-01-22 14:14:27",0.923,116,"lumilong,mingkaizhu,nataliecao323,sandralth,wwqianqian"
28,11180495,DeepAI,"2023-12-07 12:07:49",0.922,23,myncoder0908
29,11165449,ACEs,"2024-01-22 14:26:48",0.921,229,"drpatrickchan,jerifate,ympaik"
30,11172742,sensei,"2024-01-22 13:12:05",0.921,216,arunsensei
31,11185515,Jupitercoder,"2024-01-22 04:11:28",0.921,222,jupitercoder
32,11204373,chorya,"2024-01-21 08:07:36",0.921,81,chorya
